Year,Sales ($B),Employees,Timeline
2015,107.006,230800,Short-term
2014,88.988,154100,Short-term
2013,74.452,117300,Short-term
2012,61.093,88400,Short-term
2011,48.077,56200,Short-term
2010,34.204,33700,Medium-term
2009,24.509,24300,Medium-term
2008,19.166,20700,Medium-term
2007,14.835,17000,Medium-term
2006,10.711,13900,Medium-term
2005,8.49,12000,Long-term
2004,6.921,9000,Long-term
2003,5.264,7800,Long-term
2002,3.933,7500,Long-term
2001,3.122,7800,Long-term
2000,2.762,9000,Long-term
